match_id,event_id,map,round_number,round_score,winner,side,win_type
112287,1014,Bind,1,0-1,team2,attack,Elimination
112287,1014,Bind,2,0-2,team2,attack,Spike exploded
112287,1014,Bind,3,1-2,team1,defense,Elimination
112287,1014,Bind,4,2-2,team1,defense,Defused
112287,1014,Bind,5,3-2,team1,defense,Elimination
112287,1014,Bind,6,3-3,team2,attack,Elimination
112287,1014,Bind,7,3-4,team2,attack,Spike exploded
112287,1014,Bind,8,3-5,team2,attack,Elimination
112287,1014,Bind,9,3-6,team2,attack,Spike exploded
112287,1014,Bind,10,4-6,team1,defense,Defused
112287,1014,Bind,11,5-6,team1,defense,Elimination
112287,1014,Bind,12,5-7,team2,attack,Elimination
112287,1014,Bind,13,6-7,team1,attack,Elimination
112287,1014,Bind,14,7-7,team1,attack,Elimination
112287,1014,Bind,15,8-7,team1,attack,Elimination
112287,1014,Bind,16,9-7,team1,attack,Elimination
112287,1014,Bind,17,9-8,team2,defense,Elimination
112287,1014,Bind,18,9-9,team2,defense,Elimination
112287,1014,Bind,19,9-10,team2,defense,Defused
112287,1014,Bind,20,9-11,team2,defense,Elimination
112287,1014,Bind,21,10-11,team1,attack,Spike exploded
112287,1014,Bind,22,11-11,team1,attack,Elimination
112287,1014,Bind,23,12-11,team1,attack,Elimination
112287,1014,Bind,24,12-12,team2,defense,Elimination
112287,1014,Bind,25,13-12,team1,defense,Time out
112287,1014,Bind,26,14-12,team1,attack,Elimination
112287,1014,Ascent,1,1-0,team1,attack,Elimination
112287,1014,Ascent,2,2-0,team1,attack,Elimination
112287,1014,Ascent,3,2-1,team2,defense,Elimination
112287,1014,Ascent,4,2-2,team2,defense,Defused
112287,1014,Ascent,5,2-3,team2,defense,Elimination
112287,1014,Ascent,6,3-3,team1,attack,Elimination
112287,1014,Ascent,7,4-3,team1,attack,Elimination
112287,1014,Ascent,8,4-4,team2,defense,Elimination
112287,1014,Ascent,9,4-5,team2,defense,Elimination
112287,1014,Ascent,10,4-6,team2,defense,Elimination
112287,1014,Ascent,11,5-6,team1,attack,Elimination
112287,1014,Ascent,12,5-7,team2,defense,Defused
112287,1014,Ascent,13,6-7,team1,defense,Elimination
112287,1014,Ascent,14,7-7,team1,defense,Elimination
112287,1014,Ascent,15,7-8,team2,attack,Elimination
112287,1014,Ascent,16,7-9,team2,attack,Elimination
112287,1014,Ascent,17,7-10,team2,attack,Elimination
112287,1014,Ascent,18,7-11,team2,attack,Elimination
112287,1014,Ascent,19,8-11,team1,defense,Elimination
112287,1014,Ascent,20,8-12,team2,attack,Elimination
112287,1014,Ascent,21,9-12,team1,defense,Elimination
112287,1014,Ascent,22,9-13,team2,attack,Elimination
112287,1014,Haven,1,0-1,team2,attack,Elimination
112287,1014,Haven,2,1-1,team1,defense,Defused
