map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Abyss,SEN,2,3 (2),0 (0),5 (3),15 (8),542198
Lotus,XLG,0,4 (0),1 (0),3 (1),16 (12),542198
Lotus,SEN,2,2 (2),1 (0),10 (4),11 (5),542198
Bind,XLG,1,3 (1),1 (1),5 (3),12 (8),542198
Bind,SEN,1,3 (1),2 (1),4 (1),12 (5),542198
Corrode,XLG,1,11 (2),2 (1),12 (6),43 (27),542198
Corrode,SEN,5,8 (5),3 (1),19 (8),38 (18),542198
Sunset,BLG,2,2 (2),0 (0),9 (5),9 (6),542203
Sunset,RRQ,0,4 (0),1 (0),1 (0),14 (7),542203
Lotus,BLG,1,3 (1),1 (0),10 (3),7 (4),542203
Lotus,RRQ,1,3 (1),2 (1),2 (1),14 (10),542203
All Maps,BLG,1,3 (1),0 (0),10 (3),4 (0),542203
All Maps,RRQ,1,3 (1),0 (0),2 (2),12 (10),542203
Lotus,G2,1,3 (2),0 (0),4 (2),13 (9),542214
Lotus,DRG,1,4 (1),1 (0),3 (0),12 (6),542214
Abyss,G2,2,2 (2),1 (0),5 (2),12 (9),542214
Abyss,DRG,0,4 (0),3 (0),3 (1),10 (6),542214
All Maps,G2,3,5 (4),1 (0),9 (4),25 (18),542214
All Maps,DRG,1,8 (1),4 (0),6 (1),22 (12),542214
Corrode,DRX,1,3 (1),0 (0),6 (4),12 (8),542210
Corrode,TL,1,3 (1),1 (0),7 (5),10 (2),542210
Abyss,DRX,2,2 (2),2 (0),4 (2),12 (9),542210
Abyss,TL,0,4 (0),0 (0),5 (1),11 (6),542210
All Maps,DRX,3,5 (3),2 (0),10 (6),24 (17),542210
All Maps,TL,1,7 (1),1 (0),12 (6),21 (8),542210
Bind,GX,1,3 (1),3 (1),6 (3),14 (9),542199
Bind,XLG,1,3 (1),0 (0),6 (5),17 (6),542199
Ascent,GX,2,2 (2),1 (1),7 (3),13 (7),542199
Ascent,XLG,0,4 (0),0 (0),6 (1),13 (9),542199
All Maps,GX,3,5 (3),4 (2),13 (6),27 (16),542199
All Maps,XLG,1,7 (1),0 (0),12 (6),30 (15),542199
Lotus,T1,1,3 (1),0 (0),6 (2),13 (6),542215
Lotus,G2,1,3 (1),0 (0),6 (4),13 (8),542215
Corrode,T1,0,4 (0),4 (2),1 (0),12 (6),542215
Corrode,G2,2,2 (2),0 (0),6 (3),13 (8),542215
All Maps,T1,1,7 (1),4 (2),7 (2),25 (12),542215
All Maps,G2,3,5 (3),0 (0),12 (7),26 (16),542215
Corrode,MIBR,2,2 (2),0 (0),5 (4),11 (7),542204
Corrode,RRQ,0,4 (0),1 (0),2 (1),11 (4),542204
Abyss,MIBR,2,2 (2),0 (0),4 (4),12 (7),542204
Abyss,RRQ,0,4 (0),1 (0),5 (2),8 (3),542204
All Maps,MIBR,4,4 (4),0 (0),9 (8),23 (14),542204
All Maps,RRQ,0,8 (0),2 (0),7 (3),19 (7),542204
Lotus,PRX,0,4 (1),0 (0),4 (2),16 (10),542265
Lotus,G2,2,2 (2),3 (1),4 (2),15 (6),542265
Corrode,PRX,2,2 (2),1 (1),9 (6),16 (4),542265
Corrode,G2,0,4 (1),1 (0),2 (2),21 (12),542265
Ascent,PRX,2,2 (2),0 (0),9 (5),13 (6),542265
Ascent,G2,0,4 (0),3 (0),0 (0),17 (11),542265
Bind,PRX,4,8 (5),1 (1),22 (13),45 (20),542265
Bind,G2,2,10 (3),7 (1),6 (4),53 (29),542265
Haven,FNC,2,2 (2),2 (0),6 (2),14 (9),542264
Haven,DRX,0,4 (1),3 (0),2 (0),15 (10),542264
Ascent,FNC,2,2 (2),1 (0),8 (2),10 (4),542264
Ascent,DRX,0,4 (0),1 (0),1 (1),15 (12),542264
Abyss,FNC,1,3 (1),0 (0),2 (2),13 (10),542264
Abyss,DRX,1,2 (1),2 (0),5 (1),9 (3),542264
All Maps,FNC,5,7 (5),3 (0),16 (6),37 (23),542264
All Maps,DRX,1,10 (2),6 (0),8 (2),39 (25),542264
Corrode,TH,1,3 (1),2 (0),5 (5),16 (6),542266
Corrode,MIBR,1,3 (1),1 (0),1 (1),21 (12),542266
Sunset,TH,1,3 (1),1 (0),8 (4),7 (1),542266
Sunset,MIBR,1,2 (1),1 (0),2 (2),14 (10),542266
Haven,TH,2,6 (2),3 (0),13 (9),23 (7),542266
Haven,MIBR,2,5 (2),2 (0),3 (3),35 (22),542266
Haven,NRG,2,2 (2),0 (0),2 (2),10 (9),542267
Haven,GX,0,3 (0),3 (0),2 (0),6 (1),542267
Lotus,NRG,0,4 (1),0 (0),0 (0),15 (12),542267
Lotus,GX,2,2 (2),3 (0),7 (2),7 (2),542267
All Maps,NRG,2,6 (3),0 (0),2 (2),25 (21),542267
All Maps,GX,2,5 (2),6 (0),9 (2),13 (3),542267
Lotus,DRX,2,3 (2),2 (0),5 (2),10 (3),542273
Lotus,G2,0,3 (0),0 (0),3 (2),14 (11),542273
Abyss,DRX,1,3 (1),1 (0),3 (1),16 (11),542273
Abyss,G2,1,4 (1),0 (0),7 (2),12 (7),542273
All Maps,DRX,1,3 (1),0 (0),3 (1),14 (11),542273
All Maps,G2,1,4 (1),1 (1),5 (1),10 (4),542273
Ascent,TH,1,3 (2),0 (0),2 (2),12 (9),542274
Ascent,GX,1,3 (1),3 (1),6 (1),5 (1),542274
Lotus,TH,0,4 (1),0 (0),4 (0),8 (2),542274
Lotus,GX,2,2 (2),1 (0),4 (3),9 (8),542274
All Maps,TH,1,3 (1),4 (3),4 (3),11 (6),542274
All Maps,GX,1,3 (1),0 (0),7 (5),12 (3),542274
Bind,FNC,0,4 (0),1 (0),3 (2),15 (8),542268
Bind,PRX,2,2 (2),1 (0),8 (5),12 (6),542268
Haven,FNC,1,3 (2),0 (0),2 (2),12 (9),542268
Haven,PRX,1,4 (1),1 (0),6 (1),6 (2),542268
All Maps,FNC,2,2 (2),1 (0),9 (3),10 (8),542268
All Maps,PRX,0,4 (1),0 (0),4 (0),14 (8),542268
Abyss,MIBR,1,3 (1),0 (0),3 (2),24 (11),542269
Abyss,NRG,1,4 (1),0 (0),4 (3),22 (12),542269
Haven,MIBR,2,2 (2),0 (0),4 (2),11 (9),542269
Haven,NRG,0,4 (0),2 (0),4 (1),7 (3),542269
All Maps,MIBR,2,3 (2),1 (0),5 (2),21 (10),542269
All Maps,NRG,0,5 (1),0 (0),2 (0),23 (15),542269
Ascent,PRX,1,3 (1),1 (0),5 (4),15 (8),542277
Ascent,TH,1,3 (1),3 (1),7 (5),11 (4),542277
Bind,PRX,1,3 (1),2 (0),4 (2),13 (6),542277
Bind,TH,1,3 (1),2 (2),6 (4),11 (6),542277
ascent,PRX,1,3 (1),0 (0),4 (3),10 (9),542277
ascent,TH,1,3 (1),1 (0),6 (1),7 (2),542277
All Maps,PRX,3,9 (3),3 (0),13 (9),38 (23),542277
All Maps,TH,3,9 (3),6 (3),19 (10),29 (12),542277
